Station ID,Timestamp,PM2.5,PM10,O3,NO2,Temperature,Humidity
S001,2025-07-01 00:00:00,29.96714153011233,37.92603548243223,35.18150830480554,30.661208994856178,23.83,57.6586304305082
S001,2025-07-01 01:00:00,40.79212815507391,51.51152093729363,26.244204912520384,23.79792030510175,22.68,55.34270246429743
S001,2025-07-01 02:00:00,27.419622715660342,11.300796330133032,16.200657339895738,16.06398729531319,19.94,63.142473325952736
S001,2025-07-01 03:00:00,15.91975924478789,18.815444479970626,41.72519015137243,18.41956589659425,25.34,45.75251813786544
S001,2025-07-01 04:00:00,19.556172754748175,41.663838845647994,20.79205138062158,22.629886128419702,22.0,57.083062502067236
S001,2025-07-01 05:00:00,18.98293387770603,67.78417276763406,29.892022202096527,12.596023497308698,29.11,47.791563500289776
S001,2025-07-01 06:00:00,27.088635950047554,10.604948141803366,19.374511608812554,21.378028651083866,28.69,
S001,2025-07-01 07:00:00,23.843517176117594,35.48344456616067,18.17182407706058,14.96109054123704,22.7,70.57122226218915
S001,2025-07-01 08:00:00,28.436182895684613,13.554397669558991,32.592671755158364,17.304424037085784,21.62,66.11676288840867
S001,2025-07-01 09:00:00,35.30999522495951,53.96920178674298,23.28625981421889,17.835513369041497,26.66,69.75545127122359
S001,2025-07-01 10:00:00,20.2082576215471,37.215115350042744,21.149320207951774,11.626553631435304,29.06,73.56240028570824
S001,2025-07-01 11:00:00,24.27989878419666,55.052993468380365,32.89308820038107,15.484161717764131,26.81,75.38036566465969
S001,2025-07-01 12:00:00,24.641739608900483,63.46965483721009,9.042039167282045,25.753317530626568,25.44,57.009926495341325
S001,2025-07-01 13:00:00,25.917607765355022,10.186466280986608,28.242624897299905,22.499788000582225,32.39,54.81729781726352
S001,2025-07-01 14:00:00,16.915063971068122,32.47364434623195,37.32321694161659,22.30125776761779,22.35,65.13267433113356
S001,2025-07-01 15:00:00,25.970775493480403,54.52967485799334,24.38357524898118,17.706364973815624,23.04,45.364850518678814
S001,2025-07-01 16:00:00,27.961202770645762,43.91582908269834,30.040907653139687,18.357890066373972,17.92,55.79354677234641
